Year,Event,Player,Team,Value
1910,Hits,Nap Lajoie,Cleveland,227
1910,Home Runs,Jake Stahl,Boston,10
1910,On Base Percentage,Ty Cobb,Detroit,.455
1910,RBI,Sam Crawford,Detroit,120
1910,Runs,Ty Cobb,Detroit,106
1910,Slugging Average,Ty Cobb,Detroit,.549
1910,Stolen Bases,Eddie Collins,Philadelphia,81
1910,Total Bases,Nap Lajoie,Cleveland,304
1910,Triples,Sam Crawford,Detroit,19
1911,Base on Balls,Donie Bush,Detroit,98
1911,Batting Average,Ty Cobb,Detroit,.419
1911,Doubles,Ty Cobb,Detroit,47
1911,Hits,Ty Cobb,Detroit,248
1911,Home Runs,Frank Baker,Philadelphia,11
1911,On Base Percentage,Joe Jackson,Cleveland,.468
1911,RBI,Ty Cobb,Detroit,127
1911,Runs,Ty Cobb,Detroit,147
1911,Slugging Average,Ty Cobb,Detroit,.620
1911,Stolen Bases,Ty Cobb,Detroit,83
1911,Total Bases,Ty Cobb,Detroit,367
1911,Triples,Ty Cobb,Detroit,24
1912,Base on Balls,Donie Bush,Detroit,117
1912,Batting Average,Ty Cobb,Detroit,.409
1912,Doubles,Tris Speaker,Boston,53
1912,Hits,Ty Cobb,Detroit,226
1912,Home Runs,Frank Baker,Philadelphia,10
1912,On Base Percentage,Tris Speaker,Boston,.464
1912,RBI,Frank Baker,Philadelphia,130
1912,Runs,Eddie Collins,Philadelphia,137
1912,Slugging Average,Ty Cobb,Detroit,.584
1912,Stolen Bases,Clyde Milan,Washington,88
1912,Total Bases,Joe Jackson,Cleveland,331
1912,Triples,Joe Jackson,Cleveland,26
1913,Base on Balls,Burt Shotton,St. Louis,99
1913,Batting Average,Ty Cobb,Detroit,.389
1913,Doubles,Joe Jackson,Cleveland,39
1913,Hits,Joe Jackson,Cleveland,197
1913,Home Runs,Frank Baker,Philadelphia,12
1913,On Base Percentage,Ty Cobb,Detroit,.466
1913,RBI,Frank Baker,Philadelphia,117
1913,Runs,Eddie Collins,Philadelphia,125
1913,Slugging Average,Joe Jackson,Cleveland,.551
